time_id,datetime,date,year,month,day_of_week,hour,is_weekend,is_friday,period_of_day,is_special,special_label,special_demand_mult,peak_shift_hours
1,2025-03-01 00:00:00,2025-03-01,2025,3,Saturday,0,1,0,offpeak,1,Ramadan,0.9,1
2,2025-03-01 01:00:00,2025-03-01,2025,3,Saturday,1,1,0,offpeak,1,Ramadan,0.9,1
3,2025-03-01 02:00:00,2025-03-01,2025,3,Saturday,2,1,0,offpeak,1,Ramadan,0.9,1
4,2025-03-01 03:00:00,2025-03-01,2025,3,Saturday,3,1,0,offpeak,1,Ramadan,0.9,1
5,2025-03-01 04:00:00,2025-03-01,2025,3,Saturday,4,1,0,offpeak,1,Ramadan,0.9,1
6,2025-03-01 05:00:00,2025-03-01,2025,3,Saturday,5,1,0,offpeak,1,Ramadan,0.9,1
7,2025-03-01 06:00:00,2025-03-01,2025,3,Saturday,6,1,0,morning_peak,1,Ramadan,0.9,1
8,2025-03-01 07:00:00,2025-03-01,2025,3,Saturday,7,1,0,morning_peak,1,Ramadan,0.9,1
9,2025-03-01 08:00:00,2025-03-01,2025,3,Saturday,8,1,0,morning_peak,1,Ramadan,0.9,1
10,2025-03-01 09:00:00,2025-03-01,2025,3,Saturday,9,1,0,midday,1,Ramadan,0.9,1
11,2025-03-01 10:00:00,2025-03-01,2025,3,Saturday,10,1,0,midday,1,Ramadan,0.9,1
12,2025-03-01 11:00:00,2025-03-01,2025,3,Saturday,11,1,0,midday,1,Ramadan,0.9,1
13,2025-03-01 12:00:00,2025-03-01,2025,3,Saturday,12,1,0,midday,1,Ramadan,0.9,1
14,2025-03-01 13:00:00,2025-03-01,2025,3,Saturday,13,1,0,midday,1,Ramadan,0.9,1
15,2025-03-01 14:00:00,2025-03-01,2025,3,Saturday,14,1,0,midday,1,Ramadan,0.9,1
16,2025-03-01 15:00:00,2025-03-01,2025,3,Saturday,15,1,0,midday,1,Ramadan,0.9,1
17,2025-03-01 16:00:00,2025-03-01,2025,3,Saturday,16,1,0,midday,1,Ramadan,0.9,1
18,2025-03-01 17:00:00,2025-03-01,2025,3,Saturday,17,1,0,evening_peak,1,Ramadan,0.9,1
19,2025-03-01 18:00:00,2025-03-01,2025,3,Saturday,18,1,0,evening_peak,1,Ramadan,0.9,1
20,2025-03-01 19:00:00,2025-03-01,2025,3,Saturday,19,1,0,evening_peak,1,Ramadan,0.9,1
21,2025-03-01 20:00:00,2025-03-01,2025,3,Saturday,20,1,0,offpeak,1,Ramadan,0.9,1
22,2025-03-01 21:00:00,2025-03-01,2025,3,Saturday,21,1,0,offpeak,1,Ramadan,0.9,1
23,2025-03-01 22:00:00,2025-03-01,2025,3,Saturday,22,1,0,offpeak,1,Ramadan,0.9,1
24,2025-03-01 23:00:00,2025-03-01,2025,3,Saturday,23,1,0,offpeak,1,Ramadan,0.9,1
25,2025-03-02 00:00:00,2025-03-02,2025,3,Sunday,0,0,0,offpeak,1,Ramadan,0.9,1
26,2025-03-02 01:00:00,2025-03-02,2025,3,Sunday,1,0,0,offpeak,1,Ramadan,0.9,1
27,2025-03-02 02:00:00,2025-03-02,2025,3,Sunday,2,0,0,offpeak,1,Ramadan,0.9,1
28,2025-03-02 03:00:00,2025-03-02,2025,3,Sunday,3,0,0,offpeak,1,Ramadan,0.9,1
29,2025-03-02 04:00:00,2025-03-02,2025,3,Sunday,4,0,0,offpeak,1,Ramadan,0.9,1
30,2025-03-02 05:00:00,2025-03-02,2025,3,Sunday,5,0,0,offpeak,1,Ramadan,0.9,1
31,2025-03-02 06:00:00,2025-03-02,2025,3,Sunday,6,0,0,morning_peak,1,Ramadan,0.9,1
32,2025-03-02 07:00:00,2025-03-02,2025,3,Sunday,7,0,0,morning_peak,1,Ramadan,0.9,1
33,2025-03-02 08:00:00,2025-03-02,2025,3,Sunday,8,0,0,morning_peak,1,Ramadan,0.9,1
34,2025-03-02 09:00:00,2025-03-02,2025,3,Sunday,9,0,0,midday,1,Ramadan,0.9,1
35,2025-03-02 10:00:00,2025-03-02,2025,3,Sunday,10,0,0,midday,1,Ramadan,0.9,1
36,2025-03-02 11:00:00,2025-03-02,2025,3,Sunday,11,0,0,midday,1,Ramadan,0.9,1
37,2025-03-02 12:00:00,2025-03-02,2025,3,Sunday,12,0,0,midday,1,Ramadan,0.9,1
38,2025-03-02 13:00:00,2025-03-02,2025,3,Sunday,13,0,0,midday,1,Ramadan,0.9,1
39,2025-03-02 14:00:00,2025-03-02,2025,3,Sunday,14,0,0,midday,1,Ramadan,0.9,1
40,2025-03-02 15:00:00,2025-03-02,2025,3,Sunday,15,0,0,midday,1,Ramadan,0.9,1
41,2025-03-02 16:00:00,2025-03-02,2025,3,Sunday,16,0,0,midday,1,Ramadan,0.9,1
42,2025-03-02 17:00:00,2025-03-02,2025,3,Sunday,17,0,0,evening_peak,1,Ramadan,0.9,1
43,2025-03-02 18:00:00,2025-03-02,2025,3,Sunday,18,0,0,evening_peak,1,Ramadan,0.9,1
44,2025-03-02 19:00:00,2025-03-02,2025,3,Sunday,19,0,0,evening_peak,1,Ramadan,0.9,1
